Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03,101.69306272036118,102.44162721751502,100.88459774116944,101.31128692626953,177007,0.0,0.0
2007-01-04,101.11665909430364,101.5059164666721,100.74237684257092,101.356201171875,140537,0.0,0.0
2007-01-05,100.40551272879436,100.40551272879436,99.18534573873374,99.58208465576172,169566,0.0,0.0
2007-01-08,99.23775340679745,99.41740697074695,98.41432527800231,99.33506774902344,181723,0.0,0.0
2007-01-09,99.74677755286966,99.94888780367997,98.63889400496961,99.31260681152344,133201,0.0,0.0
2007-01-10,97.70318521697774,98.61644011470862,97.63581513145856,98.48918151855469,276253,0.0,0.0
2007-01-11,98.11490850079386,99.40244576264361,97.98016233182602,99.00570678710938,260533,0.0,0.0
2007-01-12,100.57770220279825,101.07176155607014,100.53278880436643,100.89958953857422,145882,0.0,0.0
2007-01-16,101.04180711479817,101.42357094038962,100.47289617866814,100.65254974365234,75666,0.0,0.0
2007-01-17,100.06867330540886,100.82473142474886,99.93393311871965,100.30072784423828,96311,0.0,0.0
2007-01-18,101.07175477699154,101.25890190491975,100.14353063938293,100.22587585449219,202788,0.0,0.0
2007-01-19,101.07923452353353,102.11226654052733,101.07923452353353,102.11226654052734,151331,0.0,0.0
2007-01-22,102.59133531614147,102.76350729310573,100.92202247934661,101.28134155273438,214316,0.0,0.0
2007-01-23,101.955048821017,102.8158966887106,101.84275338693138,102.50150299072266,163488,0.0,0.0
2007-01-24,103.19018301855812,103.84143910381727,103.17521986982962,103.68424224853516,223748,0.0,0.0
2007-01-25,103.75910895719075,104.01362616872858,102.3742633561942,102.55391693115234,234647,0.0,0.0
2007-01-26,103.02550905604814,103.48213649296513,102.17214269128185,103.37733459472656,252463,0.0,0.0
2007-01-29,103.63935290308544,104.1558689464932,103.41478591487413,103.60192108154297,135821,0.0,0.0
2007-01-30,104.15585530616012,104.57505095276362,103.93876992247829,104.3205337524414,104066,0.0,0.0
2007-01-31,103.58694133217796,106.32669406094567,103.52705282140997,106.30423736572266,352442,0.0,0.0
2007-02-01,106.5737302405366,106.82823546423204,105.32361293532117,105.84761047363281,271222,0.0,0.0
2007-02-02,104.73972850058435,104.94933230734821,104.45527303170202,104.70230865478516,251101,0.0,0.0
2007-02-05,103.72168934394116,104.04356467629535,103.53454222258948,103.88636779785156,146301,0.0,0.0
