Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03,355.7889935699518,356.9781401755117,353.88636861051555,356.5024719238281,40548,0.0,0.0
2007-01-04,356.7401100921508,363.39924574501305,356.7401100921508,360.9638977050781,33762,0.0,0.0
2007-01-05,360.0697385493529,361.4491278604922,358.16711437812427,361.0210266113281,40051,0.0,0.0
2007-01-08,360.54545165864704,362.10083844800084,356.4072589087377,361.9676513671875,31114,0.0,0.0
2007-01-09,361.9486001569527,362.8761289548009,361.0305847213762,362.01043701171875,29625,0.0,0.0
2007-01-10,361.767762284789,362.88080138852905,361.3159017054308,362.4479675292969,19529,0.0,0.0
2007-01-11,362.4480366894397,364.2317199707031,362.4480366894397,364.2317199707031,28466,0.0,0.0
2007-01-12,363.39925126676417,364.57412719726557,362.48126007861737,364.5741271972656,18536,0.0,0.0
2007-01-16,364.30309526284043,366.6337970125496,363.3993498458278,365.7776184082031,15723,0.0,0.0
2007-01-17,364.35062127299017,364.35062127299017,362.3576441163975,363.09014892578125,18205,0.0,0.0
2007-01-18,363.87499594865096,364.5409072620284,362.8618469238281,362.8618469238281,27970,0.0,0.0
2007-01-19,362.21025187534696,362.21025187534696,358.847374088828,359.41815185546875,14730,0.0,0.0
2007-01-22,358.6427477407409,360.0364310757008,357.00176507200956,358.4049377441406,23998,0.0,0.0
2007-01-23,357.21592227766484,361.93916350476167,356.96859882982466,361.4492492675781,74475,0.0,0.0
2007-01-24,361.496615594536,362.6381706286656,361.02094764395383,361.9722595214844,90529,0.0,0.0
2007-01-25,361.0209710226475,361.4966390040326,359.6035284853907,361.49188232421875,24163,0.0,0.0
2007-01-26,361.972280031493,362.4479480090274,359.9507631978774,361.8533630371094,58256,0.0,0.0
2007-01-29,361.51953079967717,362.46864367824764,357.70879477644917,361.9964599609375,27473,1.238671,0.0
2007-01-30,362.95040701178095,363.9042895927315,361.9965244308304,363.80889892578125,27639,0.0,0.0
2007-01-31,364.61960008777623,365.33500581413415,363.34141366223986,363.7611083984375,20357,0.0,0.0
2007-02-01,364.57205207756385,364.8582241191575,359.1349519071746,360.94732666015625,28301,0.0,0.0
2007-02-02,360.9520106581145,360.9520106581145,357.2271018202982,357.89483642578125,47664,0.0,0.0
2007-02-05,357.7040339278303,359.1253064696668,357.0363234504369,358.3002014160156,13406,0.0,0.0
2007-02-06,359.3732411029331,361.1617431640625,357.94242981861237,361.1617431640625,26977,0.0,0.0
2007-02-07,360.3271547577592,362.47339610350673,359.61651853763203,361.97259521484375,14399,0.0,0.0
2007-02-08,362.28275671286144,365.7834984182253,362.28275671286144,365.5736389160156,35583,0.0,0.0
2007-02-09,366.0028146794411,368.1967518582546,365.8120574326963,367.8628845214844,58256,0.0,0.0
2007-02-12,368.19680732666035,368.95513916015625,366.50844043203415,368.95513916015625,34921,0.0,0.0
2007-02-13,367.7198019233815,370.10449637101095,366.3414549402067,369.6752624511719,38562,0.0,0.0
2007-02-14,368.5638629523514,376.433349609375,367.83891820062,376.433349609375,73813,0.0,0.0
2007-02-15,376.4334426663038,376.7768490439585,374.1679867460389,375.8897399902344,21846,0.0,0.0
2007-02-16,375.88969153697434,377.69729614257807,374.40641513512657,377.6972961425781,21184,0.0,0.0
2007-02-20,376.63850526576,379.6336754327275,376.63850526576,378.62255859375,19529,0.0,0.0
2007-02-21,378.5462706511866,379.6432391495801,376.0662098522977,377.258544921875,16385,0.0,0.0
2007-02-22,377.65440519576674,378.2124164504616,376.0661989344008,376.6719055175781,9434,0.0,0.0
2007-02-23,376.72905621913816,376.7338257509268,373.44294517092595,376.13763427734375,10592,0.0,0.0
2007-02-26,375.3507977978964,375.3507977978964,365.03940422876786,370.34295654296875,25818,0.0,0.0
2007-02-27,369.36534852504593,371.93605551228643,366.8804931640625,366.8804931640625,23501,0.0,0.0
2007-02-28,367.8389848966686,367.8389848966686,364.3859395697468,365.3350524902344,21515,0.0,0.0
2007-03-01,362.473386373085,366.87075047944677,359.6355870124816,366.0504150390625,52298,0.0,0.0
2007-03-02,364.9058345520865,366.7658801239773,363.3891712616532,365.144287109375,29128,0.0,0.0
2007-03-05,363.4274515681442,364.3765407654198,360.3797912597656,360.3797912597656,48988,0.0,0.0
2007-03-06,361.14763682079524,361.14763682079524,358.6580363178835,360.3273010253906,41210,0.0,0.0
2007-03-07,359.35901572820876,360.5608897770328,357.7040360783429,358.44805908203125,59415,0.0,0.0
2007-03-08,359.61179418645764,359.61179418645764,355.89644852174956,356.9886474609375,28135,0.0,0.0
2007-03-09,357.6801985015089,358.6531590994764,355.4099731652843,355.853515625,25487,0.0,0.0
2007-03-12,353.6501418792899,356.3877820324893,346.7345346216618,355.84405517578125,32438,0.0,0.0
2007-03-13,353.8886279027152,358.3146108830553,353.8886279027152,356.0873107910156,32438,0.0,0.0
2007-03-14,356.9887264997827,359.5641784667968,356.9887264997827,359.5641784667969,22508,0.0,0.0
