Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03,14.377291498715872,14.585019391271878,14.24510036674287,14.509481430053711,3299200,0.0,0
2007-01-04,14.465417182351944,14.57872351652017,14.364700707676871,14.553544998168945,2171900,0.0,0
2007-01-05,14.685738816652151,14.767570523795124,14.24510322258426,14.433947563171387,2371700,0.0,0
2007-01-08,14.45912262560452,14.717208748696574,14.238806081966263,14.61649227142334,3156000,0.0,0
2007-01-09,14.679441999136293,14.799043279410869,14.396177325604187,14.692031860351562,7937000,0.0,0
2007-01-10,14.692028858835245,14.786450397389379,14.528364298378413,14.748682022094727,3884500,0.0,0
2007-01-11,14.754977202288973,14.843103813019876,14.717207625717137,14.830513954162598,3644600,0.0,0
2007-01-12,14.830516321768565,14.93752773786914,14.559840316300336,14.704621315002441,3279400,0.0,0
2007-01-16,14.754978491372356,14.817926590523248,14.484302505468106,14.52207088470459,4528100,0.0,0
2007-01-17,14.52207206534481,14.742389829967141,14.433945439749968,14.685736656188965,4682300,0.0,0
2007-01-18,14.710914887833614,14.767566855237332,14.440238907344822,14.635376930236816,3393500,0.0,0
2007-01-19,14.685735410104561,14.830515197193018,14.585018932074753,14.799041748046875,4349300,0.0,0
2007-01-22,14.748684582461001,14.887169449672319,14.69203140936655,14.861990928649902,3153600,0.0,0
2007-01-23,14.799040337310686,15.101189742597354,14.748682103096241,15.082304954528809,3834500,0.0,0
2007-01-24,15.08860207593469,15.138960317465104,15.000475453415259,15.13266658782959,2089100,0.0,0
2007-01-25,15.107483052387948,15.157841281203847,14.956408365940256,15.0130615234375,2110500,0.0,0
2007-01-26,15.082304954528809,15.107484671953536,14.868283359593676,15.082304954528809,3122400,0.0,0
2007-01-29,15.352980222906618,15.598477654212223,14.78644981332476,15.08859920501709,7285500,0.0,0
2007-01-30,15.107485755796144,15.264855399085688,15.031947798737722,15.227087020874023,6262700,0.0,0
2007-01-31,15.107487079201006,15.346688429675533,15.094897218482556,15.334099769592285,3573100,0.0,0
2007-02-01,15.40963589160131,15.73696505285309,15.378162441749664,15.674016952514648,5058700,0.0,0
2007-02-02,15.71808202102618,15.749556675034214,15.57959714529669,15.730671882629395,3757500,0.0,0
2007-02-05,15.68031173152245,15.869154830083005,15.554415532058652,15.81250286102295,4946500,0.0,0
2007-02-06,15.768438159535151,16.057998934536194,15.705491261201777,15.982460975646973,4574000,0.0,0
2007-02-07,15.988758399453186,16.290907880867582,15.988758399453186,16.25313949584961,4516300,0.0,0
2007-02-08,16.190191764509322,16.687480514819846,16.13983351643291,16.656005859375,5205000,0.0,0
2007-02-09,16.655999202990927,16.681178917284015,16.278313093673518,16.385324478149414,5836600,0.0,0
2007-02-12,16.360150980322906,16.49234212932137,16.347561118392516,16.47345733642578,3420700,0.0,0
2007-02-13,16.492338288300385,16.693771229732167,16.34126238159151,16.630823135375977,3244100,0.0,0
2007-02-14,16.637118845735472,16.800783418489125,16.479749202776393,16.76301383972168,2610800,0.0,0
2007-02-15,16.71266087316217,16.857441902831034,16.681187414897686,16.813377380371094,2437300,0.0,0
2007-02-16,16.718950720504864,16.763014028929142,16.593055725097656,16.593055725097656,2513300,0.0,0
