Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03,86.14725689196503,87.09302755426614,84.23104432586844,84.97943878173828,671900,0.0,0
2007-01-04,84.97941752653352,84.97941752653352,84.16522911400737,84.53531646728516,455200,0.0,0
2007-01-05,83.22771215509059,84.18993457347483,81.34440278945071,82.91519927978516,517800,0.0,0
2007-01-08,82.8247278095751,82.83295364830346,81.88718297779016,82.1832504272461,789800,0.0,0
2007-01-09,82.18324214092259,82.72602822721306,81.7555926873142,82.43818664550781,846900,0.0,0
2007-01-10,82.24082342677318,83.00566333562124,81.41841519250544,82.92342376708984,379800,0.0,0
2007-01-11,83.72116124005646,87.87431908232357,83.70470956156937,87.52068328857422,1011800,0.0,0
2007-01-12,87.52066863733748,89.190156079115,87.01077963017934,89.00923156738281,593600,0.0,0
2007-01-16,89.1325753140763,92.38109062529115,88.1950307114662,92.18370819091797,1386400,0.0,0
2007-01-17,92.18371399520262,92.98967663345249,91.62448255269197,92.23306274414062,720900,0.0,0
2007-01-18,92.3564252015467,92.62781508555697,90.67048621341192,90.99945068359375,678900,0.0,0
2007-01-19,90.95833791743588,92.0027997561774,90.67049632684903,91.20506286621094,966000,0.0,0
2007-01-22,91.13107659705588,91.4271441353625,90.49782486341464,90.75276947021484,461900,0.0,0
2007-01-23,90.69514821947988,93.2528374599649,90.69514821947988,92.89097595214844,638600,0.0,0
2007-01-24,92.93213754791164,93.31044461154109,91.90412717680643,93.25287628173828,514600,0.0,0
2007-01-25,93.26108156681691,93.45845775771373,91.87943568158718,92.04391479492188,431900,0.0,0
2007-01-26,92.24952685402872,92.89100425004759,91.63272070024493,92.8663330078125,294600,0.0,0
2007-01-29,92.86631164309122,93.26929608847634,92.71005838672424,93.26107025146484,424800,0.0,0
2007-01-30,93.66403900801843,93.91898345947266,93.07190429221224,93.91898345947266,469700,0.0,0
2007-01-31,93.75457515799827,95.20201596992334,93.63943846239417,94.92239379882812,1034500,0.0,0
2007-02-01,95.93393133612689,96.73988797226609,95.81056883380589,96.68231964111328,982800,0.0,0
2007-02-02,97.12640138840607,97.76787874233725,96.42735571487789,96.81388854980469,938800,0.0,0
2007-02-05,96.82209787225727,98.29420269005118,96.54247588585817,97.32376098632812,432700,0.0,0
2007-02-06,97.27439600363175,97.81718817690248,97.06879404850926,97.50466918945312,299300,0.0,0
2007-02-07,97.71032537480946,97.86658495525981,96.8879170978745,97.2497787475586,539800,0.0,0
2007-02-08,95.8105345338064,102.63652362411662,94.2644097117286,101.85523223876953,2334300,0.0,0
2007-02-09,101.85525078435678,104.62676858109545,99.54428583029744,100.67920684814453,1054100,0.0,0
2007-02-12,100.67921343695868,100.73678176175153,97.29911512896358,98.94393157958984,815400,0.0,0
2007-02-13,99.51137195611092,103.212208103239,99.51137195611092,102.46381378173828,997900,0.0,0
