Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-01-03,21.200334548950195,21.460520914084718,20.90160307676954,21.200334548950195,545700,0.02,0
2007-01-04,21.103966873858266,21.229242594536757,20.920872579492407,21.0461483001709,365900,0.0,0
2007-01-05,20.93050936690183,20.969056308135613,20.33304648193275,20.573959350585938,518500,0.0,0
2007-01-08,21.441246683342495,21.66288609557373,20.641415981709375,20.80523681640625,534300,0.0,0
2007-01-09,20.689597262914372,21.09433097073103,20.467957856686517,20.969057083129883,509300,0.0,0
2007-01-10,20.96905878147892,21.04615083502033,20.429414406689038,20.747419357299805,451500,0.0,0
2007-01-11,20.747406530449013,21.007590901533003,20.57394905771408,20.785951614379883,346900,0.0,0
2007-01-12,20.70887264370628,20.9883324896894,20.51614342670165,20.90160369873047,386000,0.0,0
2007-01-16,20.901605186171412,20.901605186171412,20.29450360625515,20.390869140625,540200,0.0,0
2007-01-17,20.47760505876731,20.689607837688406,20.39087623147679,20.41978645324707,325300,0.0,0
2007-01-18,20.467952731264695,20.776320843235556,20.34267887503363,20.400497436523438,523100,0.0,0
2007-01-19,20.429420425968267,20.651059915450755,20.34269161042815,20.496875762939453,234500,0.0,0
2007-01-22,20.573963757857555,20.612508869328995,20.333050837596975,20.41014289855957,398900,0.0,0
2007-01-23,20.660691544792094,21.296701476103916,20.59323622450442,21.026878356933594,672000,0.0,0
2007-01-24,21.296702037442678,23.127639822449314,21.296702037442678,22.857816696166992,1054300,0.0,0
2007-01-25,22.645817839581035,23.07946189512143,22.135081711724563,22.163991928100586,404900,0.0,0
2007-01-26,22.12543352812947,22.780716722868327,21.93270436604212,22.36634635925293,417900,0.0,0
2007-01-29,22.64581304325958,22.722905099247765,22.12544028682463,22.510902404785156,296400,0.0,0
2007-01-30,22.645807522235923,23.339635856974983,22.645807522235923,22.867446899414062,396600,0.0,0
2007-01-31,22.92527251446056,23.204730523521878,22.559083876080056,22.8963623046875,426300,0.0,0
2007-02-01,23.175819157265327,23.19509262948561,22.857814217708512,23.021635055541992,181600,0.0,0
2007-02-02,22.934906314673995,23.175819203853425,22.62653811060744,22.8867244720459,223600,0.0,0
2007-02-05,22.88671904739447,23.07945004826436,22.693988046524588,22.838537216186523,242900,0.0,0
2007-02-06,22.78071978900512,22.992724285260376,22.16398344648645,22.645809173583984,432600,0.0,0
2007-02-07,20.59323163486578,22.539806104550372,20.52577449159274,22.385622024536133,1241600,0.0,0
2007-02-08,22.404900916822253,22.790361210152895,21.92307509065403,22.568721771240234,415700,0.0,0
2007-02-09,22.5687204079885,22.742177989014593,22.424173036473277,22.67472267150879,541100,0.0,0
2007-02-12,22.279622429718344,22.722901216398817,22.279622429718344,22.645809173583984,645000,0.0,0
2007-02-13,22.722903070566414,23.127636787875,22.674721229132782,23.05054473876953,505600,0.0,0
2007-02-14,23.204732021528937,23.54201047190976,22.992729316899123,23.349279403686523,654800,0.0,0
2007-02-15,23.368551254272457,23.705829681216386,23.22400388215922,23.36855125427246,547900,0.0,0
2007-02-16,23.368544682625295,23.368544682625295,23.011992882863044,23.10835838317871,271100,0.0,0
2007-02-20,23.4263685389822,23.4263685389822,22.742176824436985,23.0698184967041,444400,0.0,0
2007-02-21,22.92527347625219,23.426370933870984,22.86745305428031,23.378189086914062,347000,0.0,0
2007-02-22,23.349286381215897,26.047512952561018,23.146920353325637,25.835508346557617,1728600,0.0,0
2007-02-23,25.796960258119398,27.830264395410293,25.199495307196464,26.45224380493164,1731200,0.0,0
2007-02-26,26.88587835169938,26.934062032861085,25.98004536407381,26.047502517700195,398000,0.0,0
2007-02-27,25.40185192371018,25.45003375932105,24.235832754131074,24.814023971557617,684900,0.0,0
2007-02-28,25.05494442679469,25.72950135810861,24.573118572433255,25.01639747619629,450500,0.0,0
