Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-09,14.25494301737879,14.575679779052734,14.25494301737879,14.575679779052734,3412900,0.0,0
2009-12-10,14.96769025849133,14.96769025849133,14.383237808768172,14.611316680908203,220200,0.0,0
2009-12-11,14.475895096646855,15.466614618489984,14.433130645751953,15.145877838134766,578900,0.0,0
2009-12-14,15.188643259308144,15.210026165850266,14.682593372928494,14.946309089660645,324500,0.0,0
2009-12-15,14.967689514160156,15.003326326363354,14.810885637225944,14.967689514160156,293700,0.0,0
2009-12-16,15.074601310226994,15.074601310226994,14.832267180764966,14.967689514160156,374400,0.0,0
2009-12-17,15.038966721169562,15.038966721169562,14.646954931698748,14.753868103027344,156700,0.0,0
2009-12-18,14.746736547200259,15.3668257068758,14.376107762418854,15.316933631896973,275600,0.0,0
2009-12-21,15.231405048218658,15.872877120971681,14.867903889785287,15.87287712097168,184300,0.0,0
2009-12-22,15.958405125987404,15.958405125987404,15.580650080571518,15.680434226989746,138800,0.0,0
2009-12-23,15.751711709860551,15.81585905976723,15.288426351223498,15.430974960327148,88100,0.0,0
2009-12-24,15.402462168301863,15.730325115823007,15.402462168301863,15.63766860961914,18000,0.0,0
2009-12-28,15.680438767115001,15.680438767115001,15.523634868848525,15.552144050598145,39900,0.0,0
2009-12-29,15.466618488425656,15.6305500574216,15.395343479462026,15.580657958984375,22000,0.0,0
2009-12-30,15.537884886371002,15.894258405411227,15.537884886371002,15.858621597290039,80800,0.0,0
2009-12-31,15.858623037720875,15.90138748324199,15.502249486311417,15.6875638961792,57800,0.0,0
2010-01-04,15.666173885323184,15.666173885323184,15.06033885092714,15.217144012451172,50800,0.0,0
2010-01-05,15.324061870038667,15.815857724655348,15.003325147580583,15.495121002197266,69500,0.0,0
2010-01-06,15.495118270499612,15.573520868713482,15.053215930192286,15.502245903015137,128400,0.0,0
2010-01-07,15.46661483518592,15.644801635778121,15.053221512190312,15.188642501831055,94300,0.0,0
2010-01-08,15.259911886343584,15.259911886343584,14.924921313735128,15.053215980529785,101200,0.0,0
2010-01-11,14.98907470703125,15.13162333707838,14.939181259084428,14.98907470703125,38100,0.0,0
2010-01-12,14.967684633625312,14.967684633625312,14.589928293943654,14.654075622558594,200000,0.0,0
2010-01-13,14.661205291748047,14.71109736327957,14.483018545160041,14.661205291748047,152700,0.0,0
2010-01-14,14.568550894555063,14.732482398921277,14.411745664763737,14.703971862792969,99600,0.0,0
2010-01-15,14.59705669154583,14.867901284226926,14.490144924732501,14.839390754699707,25600,0.0,0
2010-01-19,14.953435892313431,15.56639891780603,14.932054346419667,15.352575302124023,104700,0.0,0
2010-01-20,15.14587348000432,15.45948253506178,15.053216969817136,15.39533519744873,103000,0.0,0
2010-01-21,15.43097135587628,15.466609519420574,15.210020179729398,15.359696388244629,102400,0.0,0
2010-01-22,15.324065887102313,15.324065887102313,14.768122542258554,15.04609489440918,41700,0.0,0
2010-01-25,15.309804819466217,15.309804819466217,14.632696003462142,14.76811695098877,34200,0.0,0
2010-01-26,14.846518452386158,14.882155254995064,14.33334115375077,14.504400253295898,166400,0.0,0
2010-01-27,14.411748549324715,14.739612983137526,14.226434105770945,14.361856460571289,280100,0.0,0
2010-01-28,14.51866098979609,14.689720153808594,14.254943928949276,14.689720153808594,17300,0.0,0
2010-01-29,14.789505413512149,14.818015956005503,14.326219973655075,14.69684886932373,32400,0.0,0
2010-02-01,14.696837605659873,14.718219136685581,14.376101045709758,14.433120727539062,30200,0.0,0
2010-02-02,14.504400253295898,14.746734317515719,14.461635818273836,14.504400253295898,19300,0.0,0
2010-02-03,14.447386994138466,14.67546589521027,14.390367268870515,14.461642265319824,56600,0.0,0
2010-02-04,14.525787181471523,14.58280690247942,14.36185565350599,14.454513549804688,38600,0.0,0
2010-02-05,14.54004528295357,14.597065015064851,14.333349263846786,14.483025550842285,12100,0.0,0
2010-02-08,14.36185529301886,14.376110562777368,13.862933086587203,14.319090843200684,95300,0.0,0
2010-02-09,14.254942158177396,14.390364489328105,14.183667175495065,14.297706604003906,107900,0.0,0
2010-02-10,14.361856122613565,14.368983757904537,14.254944312163822,14.31196403503418,93100,0.0,0
2010-02-11,14.290576271086039,14.361851240308448,14.254939466203316,14.276322364807129,70900,0.0,0
2010-02-12,14.254938556662923,14.525781791078492,14.183663591988232,14.504400253295898,83900,0.0,0
2010-02-16,14.504405381062702,14.504405381062702,14.283454135969087,14.440258026123047,28500,0.0,0
2010-02-17,14.38323242125318,14.504399446624307,14.226427235798308,14.347594261169434,64000,0.0,0
2010-02-18,14.254938255188755,14.354722387948884,14.254938255188755,14.262065887451172,11900,0.0,0
2010-02-19,14.26919884490193,14.354727745056152,14.19079622021276,14.354727745056152,345100,0.0,0
2010-02-22,14.38323322118599,14.561419953144275,14.254938556662923,14.504400253295898,60100,0.0,0
2010-02-23,14.376112937927246,14.475897123807954,14.254945843875996,14.376112937927246,15200,0.0,0
2010-02-24,14.368981861740597,14.511531829833984,14.240687162348,14.511531829833984,71400,0.0,0
2010-02-25,14.290580683243189,14.475895116653726,14.269199137494878,14.340474128723145,18400,0.0,0
2010-02-26,14.397493575982395,14.440258026123047,14.25494359623708,14.440258026123047,26700,0.0,0
2010-03-01,14.4402560240649,14.568550716156892,14.354725776184514,14.518658638000488,60600,0.0,0
2010-03-02,14.540038134673418,14.803755115698655,14.475890797652603,14.76811695098877,108400,0.0,0
2010-03-03,14.889286169116447,15.31693469196459,14.661207319452684,14.896413803100586,75800,0.0,0
2010-03-04,15.067475126170468,15.238534288233655,14.932054139197971,15.110240936279297,80000,0.0,0
2010-03-05,15.252788798057033,15.35970059908577,15.11024018317115,15.267044067382812,42000,0.0,0
2010-03-08,15.302680881239956,15.466613759571816,15.217151984199889,15.267044067382812,53900,0.0,0
2010-03-09,15.25278268831185,15.366822078323183,15.06034070787144,15.103106498718262,32400,0.0,0
2010-03-10,15.053219160978063,15.053219160978063,14.825138949900435,14.903541564941406,41500,0.0,0
2010-03-11,14.860776862280462,15.131620154016087,14.604187478930905,15.003325462341309,101900,0.0,0
2010-03-12,15.095986366271973,15.28842844231347,14.989074554956954,15.095986366271973,84300,0.0,0
2010-03-15,15.09598421322326,15.09598421322326,14.696846206827017,14.967689514160156,27200,0.0,0
2010-03-16,14.974817929603795,15.459486213808962,14.896415307318454,15.302680969238281,132100,0.0,0
2010-03-17,15.302682090960404,15.438104441346225,15.017583479193478,15.28130054473877,274200,0.0,0
2010-03-18,15.202896009290098,15.210023643622186,14.896414530296516,14.967689514160156,72400,0.0,0
2010-03-19,14.326214790344238,14.89641183933568,14.262067452400576,14.326214790344238,248300,0.0,0
2010-03-22,14.269198286665922,14.825140194291022,14.183668030400437,14.575679779052734,114200,0.0,0
2010-03-23,14.547171240148604,14.725358052359594,14.29770943116172,14.69684886932373,69600,0.0,0
2010-03-24,14.568546656449767,14.753861009002804,14.397487567813913,14.618438720703125,73600,0.0,0
2010-03-25,14.618438450787966,15.267037993019448,14.561418755628827,14.910664558410645,90200,0.0,0
2010-03-26,14.875034797512779,15.031838693534912,14.853651891913549,14.93205451965332,80200,0.0,0
2010-03-29,14.932051530562488,14.953433072424161,14.775246306472138,14.92492389678955,56400,0.0,0
2010-03-30,14.996198100766247,14.996198100766247,14.846520518177106,14.882157325744629,136100,0.0,0
2010-03-31,14.789504993616323,15.11024179027291,14.689720816637585,14.98907470703125,1748300,0.0,0
2010-04-01,15.017583423135425,15.067475510076221,14.789504534573263,14.93205451965332,106600,0.0,0
2010-04-05,14.946307903345868,15.095985518345604,14.789504012855186,15.017582893371582,133900,0.0,0
2010-04-06,14.974815845791115,15.03896318974231,14.675462027171248,15.031835556030273,120100,0.0,0
2010-04-07,14.967688339970037,15.05321858578815,14.810884475336826,14.92492389678955,86100,0.0,0
2010-04-08,14.839399216402214,14.839399216402214,14.383241359511953,14.483025550842285,101900,0.0,0
2010-04-09,14.433131722957107,14.461642265319824,14.254944911562575,14.461642265319824,100800,0.0,0
2010-04-12,14.411741600257667,14.632694114565835,14.297702206821038,14.625566482543945,114800,0.0,0
2010-04-13,14.547167814322503,14.5542954482673,14.2691968877613,14.518658638000488,120100,0.0,0
2010-04-14,14.490148753626226,14.974817008003281,14.468765850830568,14.646952629089355,88700,0.0,0
2010-04-15,14.597055824827345,14.646947889080703,14.532908496656802,14.618438720703125,43300,0.0,0
2010-04-16,14.55429599787741,14.55429599787741,14.254942158177396,14.297706604003906,189500,0.0,0
2010-04-19,14.254941812507914,14.340472061544125,14.169411563471703,14.247814178466797,122500,0.0,0
2010-04-20,14.262068713247325,14.29057788848877,14.148029293367314,14.29057788848877,179000,0.0,0
2010-04-21,14.29770552216341,14.340471324211254,14.062499048728746,14.29057788848877,206100,0.0,0
2010-04-22,14.205051404047312,14.44738555211256,14.148031684470627,14.319090843200684,140000,0.0,0
2010-04-23,14.290581619550904,14.347601344377926,14.254944801330566,14.254944801330566,119300,0.0,0
2010-04-26,14.254940411916255,14.333343019208051,14.148028630718294,14.162283897399902,339400,0.0,0
2010-04-27,14.12664664632094,14.319088680624722,14.026862491996228,14.190793991088867,130400,0.0,0
2010-04-28,14.247815170819392,14.283453343507153,13.919952138835678,14.219305992126465,57100,0.0,0
2010-04-29,14.290575452705006,14.290575452705006,13.891437551156768,14.005476951599121,222500,0.0,0
2010-04-30,13.962710314542983,14.233553508020579,13.94132742053554,14.041112899780273,92700,0.0,0
2010-05-03,14.048243083051682,14.190793030544203,13.89143922837555,14.076753616333008,73900,0.0,0
2010-05-04,13.976971957130884,14.062500853287759,13.734637818924247,13.82729434967041,284900,0.0,0
2010-05-05,13.870055066219372,13.99834973539623,13.58495655663576,13.606339454650879,481700,0.0,0
2010-05-06,13.57783299525187,13.684746157928249,13.25709758559474,13.306989669799805,353600,0.0,0
2010-05-07,13.306988369919786,13.392518619814483,13.021889802699464,13.257096290588379,137900,0.0,0
2010-05-10,13.684747861586235,13.870060951858884,13.492305776159826,13.756021499633789,358000,0.0,0
2010-05-11,13.670491237656675,13.770275408616765,13.31411764484793,13.356882095336914,246000,0.0,0
2010-05-12,13.39251551408569,14.162282146800024,13.364004984246659,14.005476951599121,170700,0.0,0
2010-05-13,14.062496861488578,14.226428332136528,13.713251022494592,13.934202194213867,192600,0.0,0
2010-05-14,13.884314466421145,13.884314466421145,13.527940883446533,13.734638214111328,132000,0.0,0
2010-05-17,13.834420426367721,13.934204580466496,13.314115395056769,13.535066604614258,248300,0.0,0
2010-05-18,13.656229972839355,13.777396995582516,13.50655378210433,13.656229972839355,258200,0.0,0
2010-05-19,13.649102879577558,13.898564566769924,13.399641192385195,13.520808219909668,230900,0.0,0
2010-05-20,13.378264261024626,13.741765468737285,13.321244543704442,13.399645805358887,201400,0.0,0
2010-05-21,13.285599798825354,13.677611351013184,13.214326207024495,13.677611351013184,256100,0.0,0
2010-05-24,13.627723684266726,14.425999589102481,13.627723684266726,14.112390518188477,358400,0.0,0
2010-05-25,13.941337132106128,14.333348971912336,13.91282794635997,14.233563423156738,311800,0.0,0
2010-05-26,14.290579806679492,14.768120451322613,14.112393019267243,14.49014949798584,2312500,0.0,0
2010-05-27,14.682587027878924,14.96768552794847,14.483017398101799,14.732479095458984,206900,0.0,0
2010-05-28,14.753861140024354,14.95342939881005,14.589928322434497,14.625566482543945,198000,0.0,0
2010-06-01,14.561425378019122,14.568553013087687,14.290580683243189,14.340474128723145,112600,0.0,0
2010-06-02,14.311961525379658,14.41887331708203,13.898568267195216,14.247814178466797,143100,0.0,0
2010-06-03,14.169410389054345,14.31908797259754,13.720380357338913,14.091009140014648,163600,0.0,0
2010-06-04,13.976970522481754,13.976970522481754,13.064653780555863,13.086036682128906,160900,0.0,0
2010-06-07,13.114543287380409,13.114543287380409,12.68689485594756,12.793807983398438,193200,0.0,0
2010-06-08,12.87221088209126,12.936358223054167,12.629876784999626,12.77955436706543,87800,0.0,0
2010-06-09,12.857956241956208,13.171563936059783,12.743915473833015,12.822318077087402,175000,0.0,0
2010-06-10,12.964871329264458,13.748893483700073,12.872213436394953,13.734638214111328,151900,0.0,0
2010-06-11,13.634854661520457,13.77027702331543,13.485178387529325,13.77027702331543,126800,0.0,0
2010-06-14,13.94846212479962,14.105267374786354,13.706127974326815,13.813039779663086,74900,0.0,0
2010-06-15,13.841548935278949,13.891441015482737,13.42102803147956,13.613470077514648,185900,0.0,0
2010-06-16,13.527937405961378,13.663359713328191,13.421025630443152,13.470917701721191,91200,0.0,0
2010-06-17,13.520813621759169,13.520813621759169,13.264225559367883,13.356882095336914,131100,0.0,0
2010-06-18,13.435281886093964,13.820164578203833,13.37826217765335,13.556448936462402,264200,0.0,0
2010-06-21,13.720384246200489,13.87718814818095,13.549325073278858,13.584961891174316,980600,0.0,0
2010-06-22,13.613468510591082,13.798782901059013,13.392517312495768,13.435281753540039,74200,0.0,0
2010-06-23,13.435283666410234,14.17653997436246,13.399645494251741,13.748892784118652,63900,0.0,0
2010-06-24,13.720381224996455,13.898567994152252,13.663361513244885,13.69187068939209,104100,0.0,0
2010-06-25,13.691870500551023,14.254941335856794,13.50655745950717,14.190793991088867,411200,0.0,0
2010-06-28,14.091010280481742,14.440256191072924,13.976970854960426,14.04824447631836,116000,0.0,0
2010-06-29,13.884310313813556,13.884310313813556,13.428152699062911,13.492300033569336,290200,0.0,0
2010-06-30,13.52793826904547,13.948459124442497,13.378262045661987,13.435281753540039,72800,0.0,0
2010-07-01,13.413897433737722,13.542192102750573,13.121671291855973,13.492300033569336,50000,0.0,0
2010-07-02,13.60634705098196,13.60634705098196,13.171570731473706,13.28561019897461,59800,0.0,0
2010-07-06,13.506554824511248,13.634848129561199,12.957739363879544,13.014759063720703,95300,0.0,0
2010-07-07,13.093163387254926,13.57070394618916,13.093163387254926,13.542193412780762,66400,0.0,0
2010-07-08,13.698991775512695,14.09813092645216,13.456657776533916,13.698991775512695,62900,0.0,0
2010-07-09,13.706126468421479,13.89856851255739,13.677617291210906,13.720381736755371,36100,0.0,0
2010-07-12,13.65623452348115,13.870058112770874,13.556450363073575,13.613470077514648,29300,0.0,0
2010-07-13,13.399642296635895,13.513681701414818,13.029014910832865,13.499427795410156,102100,0.0,0
2010-07-14,13.406768002642641,13.584954716934117,13.235708920057636,13.38538646697998,92000,0.0,0
2010-07-15,13.356879582161998,13.356879582161998,13.128800743191945,13.292732238769531,112900,0.0,0
2010-07-16,13.228587424435817,13.278479510066811,13.064655897517586,13.128803253173828,98700,0.0,0
2010-07-19,13.114545600265412,13.16443767683113,12.79381023971846,12.84370231628418,87400,0.0,0
2010-07-20,12.772425086016884,12.879336854010875,12.743914556174815,12.793807983398438,130000,0.0,0
2010-07-21,12.259250994813424,12.465946952476985,12.00978923118589,12.195103645324707,625200,0.0,0
2010-07-22,12.059681059529805,12.465946691480974,12.045425791173605,12.180848121643066,695300,0.0,0
2010-07-23,12.187975838423627,12.337652078806483,12.009789061135145,12.330524444580078,5022900,0.0,0
2010-07-26,12.259250592960107,12.558604427609003,12.195103245574115,12.515838623046875,710900,0.0,0
2010-07-27,12.47307597151995,12.679773311587544,12.359036528536931,12.594243049621582,595900,0.0,0
2010-07-28,12.594239502599965,12.793809151342467,12.530092164056196,12.7225341796875,450200,0.0,0
2010-07-29,12.772429763474806,13.292734888524256,12.72253767743683,13.050400733947754,935000,0.0,0
2010-07-30,12.850827979375529,13.214329086486245,12.800934551003653,13.036142349243164,2200200,0.0,0
2010-08-02,13.150187125390108,13.634854106778775,13.078912129479063,13.592089653015137,553100,0.0,0
2010-08-03,13.599216696604973,13.634853513280559,13.299862814374844,13.527941703796387,330000,0.0,0
2010-08-04,13.563580344220027,13.641981615481527,13.143059367657804,13.584961891174316,209400,0.0,0
2010-08-05,13.442411612941996,13.527940509193623,13.257097191787073,13.399645805358887,177800,0.0,0
2010-08-06,13.264223697660308,13.456664377579308,12.729663383475701,13.442410469055176,231800,0.0,0
2010-08-09,13.492306413050507,13.492306413050507,13.164441952833725,13.328374862670898,213400,0.0,0
2010-08-10,13.192947354150007,13.364006473880838,12.872210654994053,13.221456527709961,198900,0.0,0
2010-08-11,12.993381594819777,13.086039495432548,12.686900070336288,12.736793518066406,375800,0.0,0
2010-08-12,12.54434974871995,12.822320694146075,12.37329060080716,12.694025993347168,322800,0.0,0
2010-08-13,12.651260637157161,12.651260637157161,12.237867386208622,12.437437057495117,467600,0.0,0
2010-08-16,12.808064588632288,13.014761895185682,12.294887178416028,12.815192222595215,334500,0.0,0
2010-08-17,12.922103568262965,13.00050617969888,12.736790529435195,12.84370231628418,256200,0.0,0
2010-08-18,12.85082773204068,12.971994765412198,12.480198999438755,12.743914604187012,349200,0.0,0
2010-08-19,12.729662002692285,12.857956681693645,12.25212145277446,12.309141159057617,213700,0.0,0
2010-08-20,12.302012701744015,12.408924473930924,12.266374538043753,12.316267967224121,188300,0.0,0
2010-08-23,12.387544515457385,12.451691865884028,12.230740636335183,12.266377449035645,149000,0.0,0
2010-08-24,12.202230636599438,12.722535679959385,12.202230636599438,12.273504257202148,234900,0.0,0
2010-08-25,12.27350310980535,12.729662123869957,12.195101862580328,12.686896324157715,467700,0.0,0
2010-08-26,12.708285631719987,12.808069829113803,12.544354061870795,12.608501434326172,212800,0.0,0
2010-08-27,12.679769971543072,12.90072116418859,12.309141199748824,12.879338264465332,135800,0.0,0
2010-08-30,12.8009396022128,13.000509316079103,12.758175149047684,12.772430419921875,260000,0.0,0
2010-08-31,12.708278040926581,12.929229214375363,12.615621535756743,12.64413070678711,425100,0.0,0
2010-09-01,12.808061937116456,12.836572467065938,12.316267530599907,12.743914604187012,307900,0.0,0
2010-09-02,12.686893781344951,12.822316067710501,12.622746454090572,12.7866792678833,168700,0.0,0
2010-09-03,12.879339125926693,13.007633813933424,12.829447049358993,12.957741737365723,155100,0.0,0
2010-09-07,12.922102219806087,12.993377190086711,12.701151035447433,12.822318077087402,190100,0.0,0
2010-09-08,12.829444503240346,12.950611533482558,12.579982810452636,12.665513038635254,126500,0.0,0
2010-09-09,12.800939559936523,12.943489549292735,12.736793560129424,12.800939559936523,233800,0.0,0
2010-09-10,12.808064940865124,12.8864675571563,12.665516336057873,12.751045227050781,167300,0.0,0
2010-09-13,12.829446224671695,13.043269784633408,12.679770004589905,12.850829124450684,256500,0.0,0
2010-09-14,12.850827683625692,13.007631519386418,12.708277753329114,12.793807983398438,161800,0.0,0
2010-09-15,12.772427303441798,12.886466723694724,12.60136817306241,12.872211456298828,228100,0.0,0
2010-09-16,12.850830745818788,12.94348727097064,12.594241353925643,12.751045227050781,183500,0.0,0
2010-09-17,12.822319042255625,13.421026662547934,12.71540725851566,13.164437294006348,972600,0.0,0
2010-09-20,13.171566141015425,13.798784353134566,13.107418792970122,13.720381736755371,454400,0.0,0
2010-09-21,13.713251784606232,13.748889949416963,13.157308648671673,13.470917701721191,339400,0.0,0
2010-09-22,13.392521753485983,13.399648029808894,13.128804667440154,13.185824394226074,315100,0.0,0
2010-09-23,12.943487400507117,12.950615034737393,12.522966497121377,12.758172988891602,535700,0.0,0
2010-09-24,12.900723418861189,12.943487866324654,12.494457769315085,12.929232597351074,311400,0.0,0
2010-09-27,12.914981003093217,13.036148092175626,12.751048099423477,12.836578369140625,373300,0.0,0
2010-09-28,12.779552631943812,13.071778763561861,12.537218567754666,13.014759063720703,332900,0.0,0
2010-09-29,12.936360993862756,13.01476361837853,12.800938649551155,12.971999168395996,261100,0.0,0
2010-09-30,12.957745458223034,12.964873093987588,12.651263917634735,12.836578369140625,221400,0.0,0
2010-10-01,12.850834099860663,12.929235377157204,12.743920919029586,12.893598556518555,180000,0.0,0
2010-10-04,12.850833640669736,12.893598095799552,12.679774460692958,12.836578369140625,190000,0.0,0
