Date,Open,High,Low,Close,Adj Close,Volume
2017-04-03,9.320000,9.390000,8.920000,8.990000,8.990000,599300
2017-04-04,9.000000,9.165000,8.560000,8.600000,8.600000,788500
2017-04-05,8.630000,8.820000,7.950000,8.140000,8.140000,939100
2017-04-06,8.150000,8.230000,7.800000,8.150000,8.150000,484600
2017-04-07,8.120000,8.590000,8.090000,8.360000,8.360000,461800
2017-04-10,8.400000,8.680000,8.400000,8.570000,8.570000,480300
2017-04-11,8.540000,8.680000,8.220000,8.350000,8.350000,315200
2017-04-12,8.310000,8.660000,8.250000,8.460000,8.460000,456700
2017-04-13,8.440000,8.665000,8.330000,8.520000,8.520000,345800
2017-04-17,8.530000,8.780000,8.460000,8.560000,8.560000,327700
2017-04-18,8.560000,8.595000,8.060000,8.220000,8.220000,589800
2017-04-19,8.270000,8.680000,8.240000,8.400000,8.400000,508400
2017-04-20,8.440000,8.720000,8.440000,8.700000,8.700000,379300
2017-04-21,8.710000,8.870000,8.588000,8.725000,8.725000,298800
2017-04-24,8.870000,9.300000,8.750000,9.300000,9.300000,845500
2017-04-25,9.380000,9.571000,9.180000,9.220000,9.220000,690700
2017-04-26,9.260000,9.460000,9.120000,9.400000,9.400000,424900
2017-04-27,9.500000,10.100000,9.400000,9.890000,9.890000,1409900
2017-04-28,9.950000,10.370000,9.895000,9.960000,9.960000,1120300
2017-05-01,10.050000,10.150000,9.270000,9.370000,9.370000,790200
2017-05-02,9.450000,9.450000,8.950000,9.000000,9.000000,508000
2017-05-03,8.980000,9.370000,8.890000,9.100000,9.100000,578900
2017-05-04,9.120000,9.310000,9.085000,9.100000,9.100000,484200
2017-05-05,8.750000,8.881000,7.420000,7.630000,7.630000,4055800
2017-05-08,7.800000,8.660000,7.792000,8.070000,8.070000,2160100
2017-05-09,8.160000,8.190000,7.780000,8.080000,8.080000,1102400
2017-05-10,8.110000,8.330000,7.910000,8.200000,8.200000,707800
2017-05-11,8.160000,8.560000,8.160000,8.410000,8.410000,716600
2017-05-12,8.350000,9.879000,8.350000,9.640000,9.640000,1727400
2017-05-15,9.730000,10.100000,9.510000,9.970000,9.970000,1369100
2017-05-16,9.990000,10.150000,9.725000,9.900000,9.900000,730800
2017-05-17,9.790000,10.690000,9.580000,10.150000,10.150000,1411300
2017-05-18,10.100000,10.630000,10.020000,10.400000,10.400000,1249800
2017-05-19,10.330000,10.540000,10.150000,10.380000,10.380000,612000
2017-05-22,10.420000,10.440000,10.050000,10.090000,10.090000,695000
2017-05-23,10.080000,10.300000,9.860000,10.260000,10.260000,507700
2017-05-24,10.280000,10.500000,10.070000,10.230000,10.230000,744200
2017-05-25,10.280000,10.300000,9.970000,10.300000,10.300000,787200
2017-05-26,10.270000,11.300000,10.230000,11.030000,11.030000,1457100
2017-05-30,11.210000,11.560000,10.570000,10.850000,10.850000,1084700
2017-05-31,10.900000,10.900000,10.120000,10.200000,10.200000,808800
2017-06-01,10.210000,10.866000,10.180000,10.710000,10.710000,562100
2017-06-02,10.720000,11.090000,10.645000,11.000000,11.000000,688600
2017-06-05,10.930000,11.370000,10.650000,11.160000,11.160000,545400
2017-06-06,11.000000,11.490000,10.990000,11.130000,11.130000,581100
2017-06-07,11.090000,11.419000,10.900000,11.050000,11.050000,532700
2017-06-08,10.930000,11.480000,10.930000,11.360000,11.360000,599100
2017-06-09,11.520000,11.790000,11.030000,11.200000,11.200000,729100
2017-06-12,10.700000,11.030000,10.350000,10.750000,10.750000,940900
2017-06-13,10.800000,11.270000,10.610000,10.890000,10.890000,631400
2017-06-14,10.800000,10.870000,10.260000,10.500000,10.500000,719800
2017-06-15,10.380000,10.540000,10.080000,10.280000,10.280000,564400
2017-06-16,10.110000,10.420000,10.010000,10.160000,10.160000,509200
2017-06-19,10.150000,10.740000,10.150000,10.690000,10.690000,546900
2017-06-20,10.700000,11.255000,10.510000,10.940000,10.940000,808600
2017-06-21,11.000000,11.240000,10.810000,11.040000,11.040000,548600
2017-06-22,11.110000,11.640000,11.000000,11.540000,11.540000,1034600
2017-06-23,10.600000,10.610000,9.540000,10.150000,10.150000,3403400
2017-06-26,10.360000,10.640000,10.050000,10.070000,10.070000,1367600
2017-06-27,10.050000,10.526000,9.830000,9.940000,9.940000,941800
2017-06-28,10.000000,10.180000,9.650000,9.740000,9.740000,1213700
2017-06-29,9.770000,9.780000,9.130000,9.320000,9.320000,1107200
2017-06-30,9.320000,9.400000,9.000000,9.270000,9.270000,738500
2017-07-03,9.270000,9.920000,9.190000,9.800000,9.800000,526800
2017-07-05,10.070000,11.000000,9.850000,10.180000,10.180000,1715900
2017-07-06,10.340000,10.580000,9.454000,9.500000,9.500000,2606100
2017-07-07,9.050000,9.050000,6.720000,7.120000,7.120000,7438800
2017-07-10,6.300000,6.990000,6.100000,6.490000,6.490000,4731500
2017-07-11,7.760000,8.150000,7.140000,7.600000,7.600000,6009800
2017-07-12,5.500000,6.800000,5.500000,6.670000,6.670000,11199200
2017-07-13,6.610000,6.960000,6.300000,6.655000,6.655000,2566600
2017-07-14,6.650000,6.668000,6.210000,6.330000,6.330000,1676800
2017-07-17,6.380000,6.450000,6.090000,6.410000,6.410000,1130100
2017-07-18,6.430000,6.538000,6.240000,6.380000,6.380000,792700
2017-07-19,6.430000,6.849000,6.360000,6.590000,6.590000,1224800
2017-07-20,6.600000,7.079000,6.500000,6.880000,6.880000,1047100
2017-07-21,6.910000,6.995000,6.690000,6.720000,6.720000,810300
2017-07-24,6.680000,6.710000,6.310000,6.610000,6.610000,947200
2017-07-25,6.470000,6.720000,6.400000,6.420000,6.420000,556100
2017-07-26,6.770000,6.800000,6.470000,6.520000,6.520000,577200
2017-07-27,6.500000,6.620000,6.250000,6.320000,6.320000,591400
2017-07-28,6.240000,6.435000,6.150000,6.300000,6.300000,250500
2017-07-31,6.330000,6.435000,6.225000,6.330000,6.330000,385300
2017-08-01,6.310000,6.486000,6.200000,6.460000,6.460000,643900
2017-08-02,6.500000,6.500000,6.110000,6.160000,6.160000,547900
2017-08-03,6.060000,6.160000,5.040000,5.275000,5.275000,1755200
2017-08-04,5.370000,5.874000,5.370000,5.770000,5.770000,665400
2017-08-07,5.700000,6.150000,5.510000,6.040000,6.040000,651600
2017-08-08,6.060000,6.190000,5.830000,5.950000,5.950000,339900
2017-08-09,5.600000,5.950000,5.600000,5.780000,5.780000,604300
2017-08-10,5.760000,5.948000,5.620000,5.780000,5.780000,380400
2017-08-11,5.800000,5.970000,5.700000,5.950000,5.950000,337800
2017-08-14,6.010000,6.025000,5.760000,5.810000,5.810000,291600
2017-08-15,5.780000,5.958000,5.650000,5.820000,5.820000,216700
2017-08-16,5.800000,5.950000,5.760000,5.800000,5.800000,127100
2017-08-17,5.740000,5.950000,5.710000,5.840000,5.840000,262400
2017-08-18,5.790000,6.010000,5.760000,5.880000,5.880000,403500
2017-08-21,5.910000,5.910000,5.730000,5.800000,5.800000,273000
2017-08-22,5.840000,5.910000,5.760000,5.780000,5.780000,169200
2017-08-23,5.710000,5.850000,5.670000,5.700000,5.700000,234000
2017-08-24,5.720000,5.880000,5.680000,5.760000,5.760000,328300
2017-08-25,5.740000,5.880000,5.580000,5.600000,5.600000,235500
2017-08-28,5.650000,5.760000,5.550000,5.710000,5.710000,353000
2017-08-29,5.760000,6.280000,5.690000,6.200000,6.200000,710200
2017-08-30,6.180000,6.300000,5.960000,6.150000,6.150000,314900
2017-08-31,6.140000,6.590000,6.100000,6.260000,6.260000,392000
2017-09-01,6.300000,6.480000,6.210000,6.460000,6.460000,239500
2017-09-05,6.420000,6.610000,6.310000,6.450000,6.450000,238400
2017-09-06,6.470000,6.590000,6.320000,6.420000,6.420000,208500
2017-09-07,6.430000,6.980000,6.430000,6.880000,6.880000,515200
2017-09-08,6.930000,6.940000,6.500000,6.610000,6.610000,371100
2017-09-11,6.570000,6.700000,6.410000,6.550000,6.550000,320300
2017-09-12,6.540000,6.600000,6.430000,6.510000,6.510000,173800
2017-09-13,6.480000,6.670000,6.450000,6.490000,6.490000,276900
2017-09-14,6.480000,6.586000,6.280000,6.430000,6.430000,190000
2017-09-15,6.430000,6.510000,6.300000,6.490000,6.490000,294100
2017-09-18,6.470000,6.570000,6.160000,6.280000,6.280000,353000
2017-09-19,6.220000,6.290000,6.160000,6.200000,6.200000,188100
2017-09-20,6.220000,6.389000,6.190000,6.310000,6.310000,191900
2017-09-21,6.330000,6.410000,6.300000,6.340000,6.340000,116000
2017-09-22,6.340000,6.400000,6.250000,6.380000,6.380000,177700
2017-09-25,6.390000,6.430000,6.260000,6.370000,6.370000,197000
2017-09-26,6.380000,6.440000,6.315000,6.390000,6.390000,220700
2017-09-27,6.430000,6.540000,6.360000,6.430000,6.430000,342600
2017-09-28,6.460000,6.530000,6.330000,6.400000,6.400000,170400
2017-09-29,6.370000,6.430000,6.120000,6.180000,6.180000,398600
2017-10-02,6.160000,6.470000,6.120000,6.300000,6.300000,404900
