contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120C00720000,2021-12-23 14:43:00+00:00,720.0,2224.0,2180.0,2199.5,0.0,0.0,1.0,16,0.7013121910095215,True,REGULAR,USD
GOOGL230120C00740000,2021-11-10 11:53:24+00:00,740.0,2085.53,2217.0,2235.5,0.0,0.0,2.0,0,1.0372972940063478,True,REGULAR,USD
GOOGL230120C00760000,2021-11-16 18:42:16+00:00,760.0,2203.43,2128.4,2148.0,0.0,0.0,22.0,49,0.6538425729370119,True,REGULAR,USD
GOOGL230120C00780000,2021-11-10 11:53:24+00:00,780.0,1445.69,2177.5,2196.0,0.0,0.0,50.0,2,1.0010044456863403,True,REGULAR,USD
GOOGL230120C00800000,2021-12-16 16:32:07+00:00,800.0,2122.38,2101.0,2120.5,0.0,0.0,4.0,67,0.6608920629882813,True,REGULAR,USD
GOOGL230120C00820000,2021-11-10 11:53:24+00:00,820.0,1570.12,2138.0,2157.0,0.0,0.0,1.0,9,0.9678347943115235,True,REGULAR,USD
GOOGL230120C00840000,2021-11-10 11:53:25+00:00,840.0,1392.0,2118.5,2137.0,0.0,0.0,,1,0.9514317601013182,True,REGULAR,USD
GOOGL230120C00860000,2021-11-10 11:53:25+00:00,860.0,1449.57,2099.0,2117.5,0.0,0.0,2.0,1,0.9364554084014892,True,REGULAR,USD
GOOGL230120C00880000,2021-11-10 11:53:25+00:00,880.0,1361.0,2079.5,2098.0,0.0,0.0,1.0,2,0.9218528932952881,True,REGULAR,USD
GOOGL230120C00900000,2021-12-22 16:13:36+00:00,900.0,2029.1,2003.0,2022.5,0.0,0.0,5.0,74,0.6214790049743653,True,REGULAR,USD
GOOGL230120C00920000,2021-12-22 14:38:57+00:00,920.0,1969.0,1983.0,2003.0,0.0,0.0,1.0,124,0.6126137371826172,True,REGULAR,USD
GOOGL230120C00940000,2021-11-10 11:53:25+00:00,940.0,1467.25,2020.5,2039.0,0.0,0.0,12.0,50,0.8783428913879394,True,REGULAR,USD
GOOGL230120C00960000,2021-12-22 16:13:36+00:00,960.0,1970.4,1944.0,1963.5,0.0,0.0,2.0,39,0.5973093247985839,True,REGULAR,USD
GOOGL230120C00980000,2021-12-22 14:33:25+00:00,980.0,1898.0,1924.5,1944.0,0.0,0.0,2.0,44,0.5907481111145021,True,REGULAR,USD
GOOGL230120C01000000,2021-12-15 20:54:11+00:00,1000.0,1939.05,1905.0,1924.5,0.0,0.0,1.0,71,0.5842174147033692,True,REGULAR,USD
GOOGL230120C01020000,2021-12-22 16:19:04+00:00,1020.0,1903.0,1885.0,1904.5,0.0,0.0,3.0,40,0.5741543439483644,True,REGULAR,USD
GOOGL230120C01040000,2021-12-02 15:27:12+00:00,1040.0,1817.3,1865.0,1883.0,0.0,0.0,2.0,114,0.5588957074737549,True,REGULAR,USD
GOOGL230120C01060000,2021-11-10 11:53:19+00:00,1060.0,1345.21,1903.0,1921.5,0.0,0.0,2.0,30,0.801485139465332,True,REGULAR,USD
GOOGL230120C01080000,2021-11-10 11:53:19+00:00,1080.0,1217.69,1883.5,1902.0,0.0,0.0,2.0,8,0.7898427998352051,True,REGULAR,USD
GOOGL230120C01100000,2021-12-13 14:33:37+00:00,1100.0,1851.75,1807.0,1826.5,0.0,0.0,4.0,20,0.5489089299011232,True,REGULAR,USD
GOOGL230120C01120000,2021-11-10 11:53:20+00:00,1120.0,1734.67,1844.5,1863.0,0.0,0.0,10.0,41,0.7672218712615967,True,REGULAR,USD
GOOGL230120C01140000,2021-11-10 11:53:20+00:00,1140.0,1718.38,1825.0,1844.0,0.0,0.0,16.0,32,0.756971882209778,True,REGULAR,USD
GOOGL230120C01160000,2021-11-10 11:53:20+00:00,1160.0,1689.13,1805.5,1824.5,0.0,0.0,8.0,26,0.7461496942901612,True,REGULAR,USD
