contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120P00720000,2022-01-03 18:39:46+00:00,720.0,0.74,0.35,2.3,-0.06999999,-8.641974,1,1180,0.5339402075195312,False,REGULAR,USD
GOOGL230120P00740000,2022-01-03 14:42:43+00:00,740.0,2.0,0.0,7.5,-1.5799999,-44.13408,1,99,0.5952799261474608,False,REGULAR,USD
GOOGL230120P00760000,2021-12-17 14:53:47+00:00,760.0,1.3,0.05,7.6,0.0,0.0,1,273,0.5856364678955077,False,REGULAR,USD
GOOGL230120P00780000,2021-12-02 20:08:55+00:00,780.0,1.2,0.05,7.9,0.0,0.0,2,61,0.5777019769287108,False,REGULAR,USD
GOOGL230120P00800000,2021-12-31 15:18:15+00:00,800.0,1.75,1.0,6.0,0.0,0.0,9,37,0.5572859213256837,False,REGULAR,USD
GOOGL230120P00820000,2021-12-22 18:20:47+00:00,820.0,4.13,0.4,7.9,0.0,0.0,10,126,0.5598798895263672,False,REGULAR,USD
GOOGL230120P00840000,2021-11-24 15:56:22+00:00,840.0,1.1,0.15,8.2,0.0,0.0,2,61,0.5501143621826172,False,REGULAR,USD
GOOGL230120P00860000,2021-12-27 15:41:57+00:00,860.0,2.49,0.1,5.0,0.0,0.0,1,183,0.5059558682250976,False,REGULAR,USD
GOOGL230120P00880000,2021-12-22 18:20:47+00:00,880.0,5.25,0.1,8.3,0.0,0.0,8,157,0.530827445678711,False,REGULAR,USD
GOOGL230120P00900000,2021-10-26 14:52:20+00:00,900.0,3.89,0.0,11.9,0.0,0.0,8,229,0.5482222912597658,False,REGULAR,USD
GOOGL230120P00920000,2021-11-10 11:53:39+00:00,920.0,3.02,0.0,9.6,0.0,0.0,50,45,0.521763815612793,False,REGULAR,USD
GOOGL230120P00940000,2021-11-10 11:53:39+00:00,940.0,3.25,0.5,10.0,0.0,0.0,42,30,0.5192308819580078,False,REGULAR,USD
GOOGL230120P00960000,2021-10-26 14:23:16+00:00,960.0,3.93,0.0,12.1,0.0,0.0,16,79,0.520939849243164,False,REGULAR,USD
GOOGL230120P00980000,2021-10-26 16:34:53+00:00,980.0,4.1,0.0,6.0,0.0,0.0,96,35,0.511174321899414,False,REGULAR,USD
GOOGL230120P01000000,2021-11-16 15:35:03+00:00,1000.0,4.18,0.0,9.2,0.0,0.0,4,256,0.5373886593627931,False,REGULAR,USD
GOOGL230120P01020000,2022-01-03 16:24:19+00:00,1020.0,4.0,0.1,9.7,-0.6799998,-14.529911,1,68,0.5327652925109863,False,REGULAR,USD
GOOGL230120P01040000,2021-12-17 15:04:59+00:00,1040.0,4.42,0.1,9.6,0.0,0.0,4,23,0.5226488165283203,False,REGULAR,USD
GOOGL230120P01060000,2021-12-06 15:39:21+00:00,1060.0,5.47,0.1,9.6,0.0,0.0,140,179,0.5136462210083007,False,REGULAR,USD
GOOGL230120P01080000,2021-12-06 16:50:14+00:00,1080.0,5.68,0.1,9.6,0.0,0.0,80,187,0.5048267291259765,False,REGULAR,USD
GOOGL230120P01100000,2022-01-03 16:32:54+00:00,1100.0,3.7,0.1,9.6,-1.6099999,-30.32015,18,317,0.4961750822448731,False,REGULAR,USD
GOOGL230120P01120000,2022-01-03 16:29:21+00:00,1120.0,4.0,0.1,9.6,-2.92,-42.196533,2,95,0.48767602172851565,False,REGULAR,USD
GOOGL230120P01140000,2021-12-17 15:04:59+00:00,1140.0,6.57,0.1,9.7,0.0,0.0,3,83,0.48018403121948244,False,REGULAR,USD
