contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NKE230120C00060000,2021-12-10 20:10:49+00:00,60.0,109.0,104.65,106.05,0.0,0.0,5,20,0.5344284838867188,True,REGULAR,USD
NKE230120C00065000,2021-12-01 17:27:50+00:00,65.0,105.79,101.9,103.05,0.0,0.0,1,13,0.6724886267089845,True,REGULAR,USD
NKE230120C00070000,2021-12-15 18:48:04+00:00,70.0,93.46,95.05,95.85,0.0,0.0,2,19,0.5109912182617188,True,REGULAR,USD
NKE230120C00075000,2021-12-09 19:48:23+00:00,75.0,95.3,89.7,91.65,0.0,0.0,1,9,0.5324753784179688,True,REGULAR,USD
NKE230120C00080000,2021-12-27 16:13:18+00:00,80.0,87.5,84.9,86.8,0.0,0.0,1,126,0.5035450036621094,True,REGULAR,USD
NKE230120C00085000,2021-12-28 16:27:07+00:00,85.0,84.03,80.7,82.1,0.0,0.0,12,83,0.48352567260742196,True,REGULAR,USD
NKE230120C00090000,2021-12-20 15:04:34+00:00,90.0,70.0,76.85,80.15,0.0,0.0,1,168,0.5104419073486328,True,REGULAR,USD
NKE230120C00095000,2021-12-21 19:17:19+00:00,95.0,74.4,71.25,72.4,0.0,0.0,2,121,0.4288387194824219,True,REGULAR,USD
NKE230120C00100000,2021-12-30 19:45:21+00:00,100.0,70.75,66.65,67.85,0.0,0.0,5,214,0.4145566357421875,True,REGULAR,USD
NKE230120C00105000,2021-12-20 20:17:45+00:00,105.0,55.87,62.15,63.35,0.0,0.0,1,91,0.40039662109375,True,REGULAR,USD
NKE230120C00110000,2021-12-30 15:01:36+00:00,110.0,61.5,57.8,58.75,0.0,0.0,1,111,0.3815979809570312,True,REGULAR,USD
NKE230120C00115000,2021-12-31 19:53:34+00:00,115.0,56.07,53.6,54.5,0.0,0.0,6,260,0.372076591796875,True,REGULAR,USD
NKE230120C00120000,2022-01-03 19:02:16+00:00,120.0,49.12,49.25,50.2,-2.5900002,-5.0087028,4,187,0.358954164428711,True,REGULAR,USD
NKE230120C00125000,2021-12-31 19:53:34+00:00,125.0,47.82,45.25,46.35,0.0,0.0,6,692,0.35465122894287104,True,REGULAR,USD
NKE230120C00130000,2021-12-30 18:56:05+00:00,130.0,43.91,41.45,42.5,0.0,0.0,23,1336,0.3472050143432617,True,REGULAR,USD
NKE230120C00135000,2021-12-30 19:27:01+00:00,135.0,40.2,37.75,38.45,0.0,0.0,23,889,0.3332586206054688,True,REGULAR,USD
NKE230120C00140000,2022-01-03 19:44:57+00:00,140.0,34.37,34.25,34.95,-3.130001,-8.346669,5,1244,0.32770447692871096,True,REGULAR,USD
NKE230120C00145000,2021-12-27 16:13:52+00:00,145.0,32.98,31.1,31.65,0.0,0.0,4,287,0.32285223052978507,True,REGULAR,USD
NKE230120C00150000,2022-01-03 19:34:18+00:00,150.0,27.85,28.0,28.55,-1.9499989,-6.5436206,6,825,0.31845774322509757,True,REGULAR,USD
NKE230120C00155000,2021-12-31 20:40:33+00:00,155.0,26.98,25.05,25.7,0.0,0.0,3,619,0.31522291229248034,True,REGULAR,USD
NKE230120C00160000,2022-01-03 20:33:05+00:00,160.0,22.71,22.45,23.0,-1.5200005,-6.2732167,20,6340,0.31143877044677726,True,REGULAR,USD
NKE230120C00165000,2022-01-03 20:04:53+00:00,165.0,20.15,20.15,20.5,-1.75,-7.9908676,15,9408,0.3079292840576171,False,REGULAR,USD
NKE230120C00170000,2022-01-03 20:06:07+00:00,170.0,17.7,17.75,18.2,-1.5,-7.8125,12,1575,0.304694453125,False,REGULAR,USD
NKE230120C00175000,2022-01-03 19:34:08+00:00,175.0,15.4,15.55,15.9,-1.8000011,-10.465123,15,2866,0.2987741021728515,False,REGULAR,USD
NKE230120C00180000,2022-01-03 20:25:36+00:00,180.0,13.77,13.65,14.1,-2.08,-13.123028,6,8037,0.29767548034667957,False,REGULAR,USD
NKE230120C00185000,2022-01-03 18:52:01+00:00,185.0,11.79,12.0,12.4,-1.6099997,-12.014923,3,1098,0.2955697885131836,False,REGULAR,USD
NKE230120C00190000,2022-01-03 19:59:09+00:00,190.0,10.5,10.3,10.85,-1.4300003,-11.986591,17,1608,0.29328099304199207,False,REGULAR,USD
NKE230120C00195000,2021-12-31 18:28:19+00:00,195.0,10.4,9.15,9.5,0.0,0.0,37,999,0.29181616394042953,False,REGULAR,USD
NKE230120C00200000,2022-01-03 18:57:06+00:00,200.0,7.75,7.95,8.35,-2.3100004,-22.96223,5,1163,0.29135840484619135,False,REGULAR,USD
NKE230120C00210000,2022-01-03 20:32:55+00:00,210.0,6.1,5.95,6.3,-0.96000004,-13.597734,12,766,0.2883677120971678,False,REGULAR,USD
NKE230120C00220000,2022-01-03 19:04:44+00:00,220.0,4.52,4.4,4.95,-1.48,-24.666668,3,2086,0.29090064575195307,False,REGULAR,USD
NKE230120C00230000,2022-01-03 19:23:38+00:00,230.0,3.4,3.35,3.75,-1.27,-27.19486,6,118,0.2899851275634765,False,REGULAR,USD
NKE230120C00240000,2021-12-21 17:45:21+00:00,240.0,2.62,2.62,2.81,-1.0300002,-28.219185,6,697,0.2887034020996093,False,REGULAR,USD
NKE230120C00250000,2022-01-03 19:57:40+00:00,250.0,2.15,2.06,2.26,-0.6999998,-24.561398,16,449,0.2929758203124999,False,REGULAR,USD
NKE230120C00260000,2022-01-03 20:27:25+00:00,260.0,1.68,1.59,2.07,-0.62,-26.956522,40,16,0.30573204040527346,False,REGULAR,USD
