contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NKE230120P00060000,2021-12-30 19:44:28+00:00,60.0,0.52,0.44,0.6,0.0,0.0,6,1302,0.5112353564453125,False,REGULAR,USD
NKE230120P00065000,2021-12-21 14:48:23+00:00,65.0,0.64,0.58,0.95,0.0,0.0,3,71,0.506840869140625,False,REGULAR,USD
NKE230120P00070000,2021-12-20 16:30:17+00:00,70.0,1.05,0.7,1.07,0.0,0.0,2,336,0.5014698291015626,False,REGULAR,USD
NKE230120P00075000,2021-12-22 15:36:47+00:00,75.0,0.88,0.88,1.21,0.0,0.0,2,601,0.47730014892578126,False,REGULAR,USD
NKE230120P00080000,2022-01-03 18:53:01+00:00,80.0,1.1,1.0,1.25,-0.16999996,-13.385823,1,547,0.4458063232421875,False,REGULAR,USD
NKE230120P00085000,2021-12-21 14:30:26+00:00,85.0,1.49,1.26,1.59,0.0,0.0,5,121,0.43604079589843747,False,REGULAR,USD
NKE230120P00090000,2021-12-17 15:46:16+00:00,90.0,1.81,1.5,1.84,0.0,0.0,2,932,0.41834077758789057,False,REGULAR,USD
NKE230120P00095000,2021-12-21 16:02:02+00:00,95.0,2.25,1.85,1.97,0.0,0.0,10,209,0.393560751953125,False,REGULAR,USD
NKE230120P00100000,2022-01-03 16:13:10+00:00,100.0,2.35,2.23,2.36,0.13999987,6.334835,1,1504,0.3811707391357422,False,REGULAR,USD
NKE230120P00105000,2021-12-27 20:33:27+00:00,105.0,2.68,2.67,2.83,0.0,0.0,2,1367,0.3698793481445312,False,REGULAR,USD
NKE230120P00110000,2022-01-03 20:35:40+00:00,110.0,3.3,3.2,3.4,-0.059999943,-1.7857127,4,2760,0.359808648071289,False,REGULAR,USD
NKE230120P00115000,2021-12-21 18:17:11+00:00,115.0,4.35,3.8,4.05,0.0,0.0,7,988,0.34979898254394526,False,REGULAR,USD
NKE230120P00120000,2021-12-31 15:34:35+00:00,120.0,4.65,4.65,4.85,0.0,0.0,2,1817,0.3415593188476562,False,REGULAR,USD
NKE230120P00125000,2021-12-30 17:05:50+00:00,125.0,5.35,5.6,5.8,0.0,0.0,1,2292,0.334265690612793,False,REGULAR,USD
NKE230120P00130000,2022-01-03 16:37:56+00:00,130.0,7.0,6.7,6.9,0.5,7.692308,4,1366,0.3275213732910156,False,REGULAR,USD
NKE230120P00135000,2022-01-03 19:35:59+00:00,135.0,8.1,7.85,8.2,0.40000057,5.194813,100,1718,0.3220282641601562,False,REGULAR,USD
NKE230120P00140000,2022-01-03 19:10:28+00:00,140.0,9.65,9.1,9.65,0.5999994,6.6298275,18,2359,0.3163520513916015,False,REGULAR,USD
NKE230120P00145000,2022-01-03 19:10:31+00:00,145.0,11.35,11.0,11.3,0.70000076,6.572777,12,628,0.3113472186279296,False,REGULAR,USD
NKE230120P00150000,2022-01-03 19:10:32+00:00,150.0,13.25,12.7,13.2,0.8500004,6.8548417,22,1348,0.30753255950927727,False,REGULAR,USD
NKE230120P00155000,2022-01-03 19:10:37+00:00,155.0,15.35,14.75,15.4,0.95000076,6.5972276,8,1123,0.3055184194946289,False,REGULAR,USD
NKE230120P00160000,2022-01-03 19:13:34+00:00,160.0,17.65,17.05,17.9,1.1499996,6.9696946,50,2494,0.30512169494628905,False,REGULAR,USD
NKE230120P00165000,2021-12-31 18:19:05+00:00,165.0,18.95,19.55,20.0,0.0,0.0,14,1476,0.29572237487792963,True,REGULAR,USD
NKE230120P00170000,2022-01-03 17:36:10+00:00,170.0,22.9,22.2,22.75,1.3999996,6.5116262,71,910,0.2933420275878905,True,REGULAR,USD
NKE230120P00175000,2021-12-22 15:45:36+00:00,175.0,25.25,25.1,25.65,0.0,0.0,3,577,0.29041236938476556,True,REGULAR,USD
NKE230120P00180000,2021-12-29 18:51:55+00:00,180.0,26.6,28.15,28.7,0.0,0.0,180,1629,0.2869944348144531,True,REGULAR,USD
NKE230120P00185000,2021-12-02 20:31:31+00:00,185.0,32.05,30.25,31.1,0.0,0.0,1,224,0.27082028015136717,True,REGULAR,USD
NKE230120P00190000,2022-01-03 17:14:40+00:00,190.0,35.75,34.8,35.5,1.6699982,4.900229,2,107,0.28290512023925773,True,REGULAR,USD
NKE230120P00195000,2021-12-20 16:55:16+00:00,195.0,45.75,38.45,39.4,0.0,0.0,11,25,0.28516339843749994,True,REGULAR,USD
NKE230120P00200000,2021-12-28 17:46:03+00:00,200.0,41.35,42.3,43.05,0.0,0.0,1,113,0.2810130493164062,True,REGULAR,USD
NKE230120P00210000,2021-12-21 17:21:48+00:00,210.0,48.72,50.4,51.05,0.0,0.0,10,85,0.2778392529296875,True,REGULAR,USD
NKE230120P00220000,2021-12-21 17:21:48+00:00,220.0,57.47,59.0,59.55,0.0,0.0,10,258,0.27579459564208975,True,REGULAR,USD
NKE230120P00230000,2021-12-22 19:56:58+00:00,230.0,67.95,67.7,68.7,0.0,0.0,1,124,0.2812877047729492,True,REGULAR,USD
NKE230120P00240000,2021-12-16 18:10:30+00:00,240.0,77.95,77.1,77.9,0.0,0.0,5,32,0.2825999475097656,True,REGULAR,USD
NKE230120P00250000,2021-12-21 15:54:05+00:00,250.0,85.3,86.5,87.7,0.0,0.0,1,37,0.29730927307128896,True,REGULAR,USD
NKE230120P00260000,2021-12-09 16:42:11+00:00,260.0,91.9,95.85,96.95,0.0,0.0,20,35,0.2902292657470703,True,REGULAR,USD
